freq	dB(S(1,2))
6.57021604924999814E9	-1.44830590162723771E-1
6.57150205750000005E9	-1.50883738196106232E-1
6.57278806575000107E9	-1.58472709565659486E-1
6.57407407399999943E9	-1.67845009161705816E-1
6.59722222224999921E9	-1.15565329387819093E-1
6.62037037050000077E9	-1.15556210039504093E-1
6.64351851874999966E9	-1.19206000810042778E-1
6.66666666700000121E9	-1.23119066060396332E-1
6.74382716087500000E9	-1.27836958895913821E-1
6.82098765474999880E9	-1.32627234364547419E-1
6.89814814862499937E9	-1.37517362330648951E-1
6.97530864250000082E9	-1.42505998188197402E-1
7.05246913637500050E9	-1.47572788393927312E-1
7.12962963024999929E9	-1.52686864387121490E-1
7.20679012412500253E9	-1.57813867348657055E-1
7.28395061800000043E9	-1.62921553570627831E-1
7.43827160550000066E9	-1.72985920408230354E-1
7.59259259299999911E9	-1.82810612842180209E-1
7.74691358049999934E9	-1.92582405539815205E-1
7.90123456799999957E9	-2.02904388986608941E-1
7.96296296299999984E9	-2.07467190392789469E-1
8.02469135800000188E9	-2.12501744301125406E-1
8.08641975299999949E9	-2.18273200692530533E-1
8.14814814799999887E9	-2.25228886379082427E-1
8.23388202999999841E9	-2.38568255921821892E-1
8.31961591199999972E9	-2.62363384561216240E-1
8.40534979399999926E9	-3.26942373289346611E-1
8.49108367600000058E9	-4.09881977229009120E-1
8.49822816624999788E9	-3.94268600845972594E-1
8.50537265650000052E9	-3.77770731294730266E-1
8.51251714674999960E9	-3.62080605709373948E-1
8.51966163700000223E9	-3.48217175094997700E-1
8.55538408774999937E9	-3.11167301920106221E-1
8.59110653850000006E9	-3.09867382837871741E-1
8.62682898925000075E9	-3.27574812744544142E-1
8.66255144000000143E9	-3.65626941247162929E-1
8.67112482825000086E9	-3.79996877829930835E-1
8.67969821649999851E9	-3.97904399736537773E-1
8.68827160474999971E9	-4.20933052472705338E-1
8.69684499299999914E9	-4.51763791351452682E-1
8.70256058512500275E9	-4.78885122591563928E-1
8.70827617725000280E9	-5.13917994988599958E-1
8.71399176937499931E9	-5.60590706311520748E-1
8.71970736149999937E9	-6.24304273589357894E-1
8.72256515756249939E9	-6.64473384400416833E-1
8.72542295362499942E9	-7.10775660407062393E-1
8.72828074968749945E9	-7.62516122973817101E-1
8.73113854575000303E9	-8.16936414978918179E-1
8.73256744378125127E9	-8.43449260258503131E-1
8.73399634181250129E9	-8.68156892076020803E-1
8.73542523984374952E9	-8.89847774146576853E-1
8.73685413787499954E9	-9.07276509442651857E-1
8.73828303590625310E9	-9.19335219053570896E-1
8.73971193393749957E9	-9.25244998975163035E-1
8.74114083196875136E9	-9.24714625276407176E-1
8.74256972999999959E9	-9.18012441012054126E-1
8.74542752612499896E9	-8.89600620281177967E-1
8.74828532225000011E9	-8.49543964611271285E-1
8.75114311837499947E9	-8.07416569432994713E-1
8.75400091450000239E9	-7.69418823760588033E-1
8.75685871062500176E9	-7.38169276533832353E-1
8.75971650674999935E9	-7.13957107164298943E-1
8.76257430287500227E9	-6.95965093035914162E-1
8.76543209899999987E9	-6.83019576733707812E-1
8.76886145424999697E9	-6.72502857208430704E-1
8.77229080949999762E9	-6.65800752089665338E-1
8.77572016475000183E9	-6.61470441996038261E-1
8.77914951999999893E9	-6.58358291359553238E-1
8.78600823049999846E9	-6.52301897743514747E-1
8.79286694099999977E9	-6.42414482376611939E-1
8.79972565149999930E9	-6.25928553046438463E-1
8.80658436199999883E9	-6.02280614877022025E-1
8.81687242787500125E9	-5.56605170941228877E-1
8.82716049375000011E9	-5.06701090306493285E-1
8.83744855962499898E9	-4.61326029620534506E-1
8.84773662549999784E9	-4.25725085510885215E-1
8.85802469137500026E9	-4.01188970463317673E-1
8.86831275724999912E9	-3.86067601247505365E-1
8.87860082312500154E9	-3.76732694742026197E-1
8.88888888900000040E9	-3.68326641508903707E-1
8.90174897125000086E9	-3.51859428298743193E-1
8.91460905350000132E9	-3.24600195876891151E-1
8.92746913575000001E9	-2.89750552699628949E-1
8.94032921799999869E9	-2.54599950591952595E-1
9.00462962949999834E9	-1.63206369557094400E-1
9.06893004099999978E9	-1.46867730025407228E-1
9.13323045250000121E9	-1.45808845819367128E-1
9.19753086400000086E9	-1.47900898513754431E-1
9.27469135787500143E9	-1.51049427924054536E-1
9.35185185175000022E9	-1.54000463340600890E-1
9.42901234562500079E9	-1.56619004538844520E-1
9.50617283950000136E9	-1.58978840583716585E-1
9.58333333337500015E9	-1.61198722206549894E-1
9.66049382724999894E9	-1.63399079414651260E-1
9.73765432112499774E9	-1.65689637522496946E-1
9.81481481500000186E9	-1.68165827009680324E-1
9.86111111125000050E9	-1.69774840960686024E-1
9.90740740750000093E9	-1.71495229002802430E-1
