Freq(Hz),Sdd11(mag),Sdd11(phase),Sdd12(mag),Sdd12(phase),Sdd21(mag),Sdd21(phase),Sdd22(mag),Sdd22(phase)
7.17E+08,-28.81535,85.82217,-46.63767,-175.14766,23.98226,90.88102,-16.06799,-92.78151
7.23E+08,-28.78625,87.00932,-47.65174,59.14317,23.98112,90.02999,-15.8627,-94.4122
7.29E+08,-26.80372,73.69974,-49.1454,-142.47401,24.01206,89.33345,-15.85496,-90.54954
7.35E+08,-27.66495,89.10507,-49.00503,175.90382,24.00048,88.45418,-15.78613,-91.6751
7.41E+08,-29.47064,95.10435,-48.68119,118.76987,23.98721,87.79928,-16.38553,-93.72281
7.47E+08,-28.69348,92.73459,-45.29094,-164.63104,23.99041,87.10901,-16.01158,-92.43024
7.53E+08,-27.705,86.62621,-46.84274,35.81505,24.01457,86.32838,-16.49636,-92.41686
7.59E+08,-27.20447,92.64392,-45.18803,113.47212,23.9899,85.47951,-15.87104,-97.58444
7.65E+08,-27.95427,86.57694,-55.03406,-150.11502,24.01839,84.79768,-15.67395,-99.07264
7.71E+08,-29.4641,71.57959,-54.25546,-73.16617,23.98433,83.84235,-15.67204,-96.88415
7.77E+08,-31.79571,74.94717,-51.33689,152.17569,23.99464,83.07713,-16.54559,-99.52548
7.83E+08,-30.17686,84.37389,-48.50246,22.61193,24.02203,82.33745,-15.95625,-100.28831
7.89E+08,-29.41663,70.13059,-50.69079,-33.94286,24.00776,81.50413,-15.59641,-101.31219
7.95E+08,-28.87088,71.00923,-44.88197,154.03673,23.99586,81.0338,-16.21717,-102.11371
8.01E+08,-31.55975,80.77666,-42.92074,171.72945,24.01548,80.25999,-15.96711,-99.95255
8.07E+08,-28.97024,72.14512,-52.74458,47.69893,24.00438,79.31855,-15.80617,-103.31593
8.13E+08,-26.89685,74.66351,-44.51481,-70.78292,24.01901,78.54329,-16.37076,-101.84727
8.19E+08,-28.97894,94.94484,-44.84483,68.98933,23.99525,77.7199,-15.79413,-104.04411
8.25E+08,-30.71451,82.27324,-56.49088,-49.58797,24.01602,77.06545,-16.29754,-103.25085
8.31E+08,-29.19394,88.80497,-45.20572,95.70501,24.02552,76.22303,-15.72921,-105.10829
8.37E+08,-30.76782,66.93328,-47.83724,-21.47532,24.01206,75.45865,-15.90206,-104.78578
8.43E+08,-30.32827,70.01122,-52.06715,51.85336,24.03684,74.6973,-16.28881,-104.73135
8.49E+08,-32.85432,88.63602,-53.35686,4.00887,23.99977,73.93307,-15.81373,-109.64906
8.55E+08,-29.25085,89.67539,-59.95201,-22.68837,24.00803,73.12673,-15.58183,-109.05973
8.61E+08,-31.24326,78.4014,-57.49812,58.30196,24.02162,72.52385,-15.77838,-109.74603
8.67E+08,-29.29553,74.66192,-52.69125,-140.69122,24.02668,71.69857,-15.60648,-111.4453
8.73E+08,-33.73888,53.92222,-43.014,99.76689,24.02562,70.85396,-15.84998,-113.18857
8.79E+08,-33.3656,55.70083,-48.57049,136.26031,24.03482,70.0104,-15.82296,-109.80193
8.85E+08,-30.49854,68.31136,-48.26255,-165.11453,24.03046,69.36411,-15.86381,-111.29037
8.91E+08,-33.52857,86.64294,-60.61171,177.77072,24.03477,68.51126,-15.57706,-110.7416
8.97E+08,-31.21013,86.11041,-56.83011,67.98888,24.02944,67.80979,-15.69849,-113.64878
9.03E+08,-31.93628,82.43945,-43.74666,87.60698,24.03682,66.92706,-16.0646,-114.0582
9.09E+08,-32.8485,85.34657,-52.64767,141.60275,24.00588,66.17884,-15.79851,-115.5521
9.14E+08,-32.75467,77.73272,-54.11897,-162.02101,24.02913,65.44684,-15.8888,-116.45397
9.20E+08,-32.37326,81.10414,-47.47519,-176.47919,24.02136,64.5992,-15.84164,-114.50278
9.26E+08,-31.72354,73.98849,-44.05856,48.02501,24.03218,64.03118,-15.77385,-116.52307
9.32E+08,-37.99732,81.0092,-47.67748,-74.98074,24.02613,63.21787,-15.70477,-120.51529
9.38E+08,-32.42722,88.38744,-44.46656,176.54865,24.02658,62.33466,-15.66269,-119.21458
9.44E+08,-32.74826,97.71948,-43.8765,-53.27919,24.02951,61.66177,-15.77838,-119.10237
9.50E+08,-36.17269,72.41948,-50.52895,131.6474,24.02174,60.91874,-15.6329,-121.95714
9.56E+08,-30.67006,81.26521,-42.48378,-124.30838,24.04652,60.05701,-15.33198,-119.049
9.62E+08,-32.3905,80.93848,-46.96038,-99.77516,24.01583,59.23181,-15.66288,-121.28448
9.68E+08,-32.1315,90.29697,-47.89281,-0.0161,24.04681,58.44642,-16.02963,-121.15988
9.74E+08,-33.72279,106.05794,-44.61193,125.96276,24.04728,57.66937,-15.94709,-122.5453
9.80E+08,-35.19722,84.48264,-50.85741,-133.32085,24.04962,56.85043,-15.85552,-124.1768
9.86E+08,-36.1606,100.97902,-52.90212,113.50547,24.03316,56.20982,-15.63607,-125.65174
9.92E+08,-35.39489,89.41674,-51.3261,-169.10919,24.04567,55.08844,-15.92628,-125.03062
9.98E+08,-31.18065,85.27039,-42.09774,136.58675,24.05198,54.70774,-15.73859,-126.67661
1.00E+09,-38.80461,98.65271,-59.61525,27.21517,24.04522,53.85125,-15.30246,-129.07361
1.01E+09,-34.69554,74.50071,-50.10063,155.06458,24.05929,53.03925,-15.64547,-128.0502
1.02E+09,-39.54116,87.07982,-49.5662,71.01917,24.0494,52.37688,-15.81957,-130.01944
1.02E+09,-37.07286,109.85757,-56.21639,-178.8562,24.03939,51.37921,-15.28684,-130.26225
1.03E+09,-36.55666,70.71103,-54.78741,125.95141,24.06536,50.77645,-15.27793,-130.09673
1.03E+09,-42.66595,151.48532,-42.60706,134.94006,24.08022,50.03923,-15.6004,-130.52458
1.04E+09,-36.26309,121.16534,-60.72187,-126.716,24.0513,49.22027,-15.06719,-132.91209
1.05E+09,-35.44177,95.89226,-60.07925,26.71024,24.05969,48.34128,-15.3567,-131.25485
1.05E+09,-35.9315,108.62664,-54.16531,93.50346,24.06763,47.68222,-15.41869,-130.8423
1.06E+09,-36.32047,73.97696,-50.62752,-57.22435,24.0591,46.99718,-16.09335,-133.56863
1.06E+09,-34.17004,109.23081,-56.16211,142.70494,24.05826,46.03085,-15.65996,-136.25027
1.07E+09,-34.48225,93.13792,-44.37327,85.27537,24.06672,45.27119,-15.52776,-135.64005
1.08E+09,-38.17762,115.70757,-47.06576,-4.05061,24.04527,44.58557,-15.36929,-135.74309
1.08E+09,-33.39073,125.85741,-47.30803,-61.91823,24.05563,43.66419,-15.72382,-138.17381
1.09E+09,-32.13736,99.38399,-50.07057,-162.25136,24.05775,42.99957,-15.52573,-137.70802
1.09E+09,-37.48997,88.62899,-48.77898,124.87572,24.0507,42.00233,-15.57991,-140.5047
1.10E+09,-30.26011,132.78409,-53.52129,-24.64709,24.05239,41.30695,-15.49963,-138.10167
1.11E+09,-43.11294,129.37402,-46.92211,88.61,24.06736,40.4451,-15.69883,-138.43605
1.11E+09,-33.38187,128.95576,-48.01004,-174.86765,24.05785,39.8949,-15.18148,-140.00464
1.12E+09,-46.74605,76.07701,-55.21512,29.93114,24.05271,38.96593,-15.61164,-140.88013
1.12E+09,-31.59728,152.80669,-46.12038,154.86119,24.06467,38.18711,-15.34575,-143.02716
1.13E+09,-33.89332,143.81384,-72.70331,-116.29984,24.03947,37.60647,-16.02858,-144.96198
1.14E+09,-36.35955,159.47162,-46.72852,-60.95647,24.06457,36.75303,-15.27728,-140.47902
1.14E+09,-34.60331,152.60365,-56.79962,-84.87105,24.05489,35.94066,-15.41273,-146.44174
1.15E+09,-34.67046,133.78371,-55.26852,-11.21938,24.04662,35.00304,-15.58718,-146.61415
1.15E+09,-34.66559,148.79555,-50.94285,-176.16211,24.05164,34.27851,-15.59131,-146.26936
1.16E+09,-35.22227,162.40109,-62.08098,-64.12066,24.04288,33.45358,-15.50968,-147.28203
1.17E+09,-34.48991,154.28273,-49.88345,134.07217,24.03903,32.72449,-15.24487,-146.08754
1.17E+09,-34.62514,121.40004,-44.41523,-115.03304,24.03394,31.99053,-15.30796,-148.4808
1.18E+09,-32.68819,125.89091,-43.06522,-105.94143,24.04206,31.25668,-15.43402,-149.40202
1.18E+09,-30.45691,130.25624,-53.69605,103.5921,24.03966,30.38893,-15.29293,-148.55231
1.19E+09,-35.15152,159.59767,-64.24548,-107.26627,24.02882,29.67635,-15.22642,-149.257
1.20E+09,-31.53597,139.59258,-50.08818,-52.19663,24.02629,29.04121,-15.74607,-149.67261
1.20E+09,-31.29036,146.68259,-42.85713,174.22154,24.02328,28.23133,-15.08315,-150.62823
1.21E+09,-32.7721,146.26115,-48.28454,79.1414,24.02745,27.31497,-15.37435,-151.36839
1.21E+09,-32.51676,157.0529,-48.90424,69.74999,24.03131,26.44625,-15.27763,-154.39801
1.22E+09,-30.51922,148.85207,-48.18587,-116.19147,24.00477,25.99576,-14.90436,-153.67747
1.23E+09,-30.78445,153.26276,-45.18334,9.39235,24.0143,25.20504,-14.59601,-155.04172
1.23E+09,-29.86536,141.5571,-48.58563,148.72331,24.01479,24.32745,-15.27971,-158.79056
1.24E+09,-28.41928,159.08897,-51.67269,-19.96195,24.0188,23.64522,-14.94141,-154.9198
1.24E+09,-29.0132,152.77077,-47.94191,-33.78023,24.0279,22.75593,-14.709,-155.39531
1.25E+09,-30.0302,144.37582,-47.44145,-8.65883,24.02875,21.95593,-14.91635,-157.50172
1.26E+09,-29.04495,153.94685,-60.59525,27.81868,24.03231,21.10318,-15.06566,-158.36176
1.26E+09,-27.67795,159.27434,-50.1037,102.81456,24.03686,20.32392,-14.80736,-156.60616
1.27E+09,-29.45022,144.48814,-55.90432,96.52,24.032,19.54672,-15.01486,-159.87045
1.27E+09,-29.2995,152.29485,-84.16393,131.64615,24.02364,18.79328,-15.1015,-159.21286
1.28E+09,-28.14191,162.45792,-47.06484,157.19556,24.00669,17.97663,-15.35208,-160.7
1.29E+09,-28.85159,155.18379,-51.14716,-28.04444,24.01668,17.09664,-15.08144,-160.10156
1.29E+09,-28.80453,154.07222,-53.60466,-177.92772,24.03475,16.40819,-14.75494,-162.12146
1.30E+09,-29.67187,150.26015,-54.04218,52.42897,24.00998,15.63814,-14.98992,-161.68304
1.30E+09,-29.23405,150.62848,-47.85543,69.85702,24.00928,15.01324,-14.70654,-164.92236
1.31E+09,-27.18411,142.1967,-60.90694,10.88361,23.99646,14.30941,-14.86454,-165.09062
1.32E+09,-26.9243,144.81287,-48.36246,-167.76425,24.03811,13.38091,-14.64597,-163.80174
1.32E+09,-28.87673,147.66873,-45.93323,165.67061,24.0066,12.62957,-14.60519,-167.15323
1.33E+09,-25.96407,147.8551,-44.71552,-15.08398,24.02702,11.91652,-14.92611,-164.31046
1.33E+09,-26.39198,147.33009,-48.7333,-66.43973,24.00761,11.13392,-14.45257,-166.7298
1.34E+09,-26.4948,155.23555,-52.44531,128.38649,24.00115,10.1387,-14.50101,-165.49844
1.35E+09,-26.74737,147.36269,-46.37099,37.61882,24.00615,9.483,-14.75882,-167.5804
1.35E+09,-25.99031,151.86363,-47.1366,-164.78781,23.98626,8.76289,-14.63351,-170.10722
1.36E+09,-25.67546,143.31192,-47.56899,84.47146,24.02168,7.86622,-14.88112,-170.02417
1.36E+09,-26.7175,140.56502,-44.92623,145.82527,23.99215,6.97734,-14.8783,-170.99342
1.37E+09,-27.34691,157.5984,-49.27236,-24.54695,23.98651,6.26047,-14.73157,-168.84877
1.38E+09,-25.23245,147.02711,-45.80362,114.9669,23.99507,5.52881,-14.7815,-171.48123
1.38E+09,-26.62604,143.013,-56.73248,131.76233,23.97087,4.87715,-14.89281,-171.45683
1.39E+09,-25.18381,149.45807,-44.06065,-55.13155,23.97803,4.10789,-14.53011,-174.82137
1.39E+09,-24.64422,151.83061,-49.84072,-69.69457,23.96707,3.10935,-14.48093,-173.44688
1.40E+09,-25.70969,143.44736,-51.06596,-53.88304,23.96003,2.54995,-14.49457,-174.94279
1.41E+09,-23.66989,145.01837,-45.55163,-11.207,23.97698,1.67855,-14.4512,-172.98582
1.41E+09,-24.52953,156.29785,-57.57416,128.5748,23.97834,0.87254,-13.94067,-174.01363
1.42E+09,-25.10138,142.86455,-56.85289,128.18787,23.95484,0.15137,-14.29246,-174.73254
1.42E+09,-23.84343,152.65729,-49.71216,-103.31678,23.9675,-0.59679,-14.34146,-172.83116
1.43E+09,-24.28943,144.09822,-47.92014,90.99617,23.96334,-1.41125,-13.9556,-176.24817
1.44E+09,-24.07906,142.89079,-57.21564,179.55698,23.97805,-2.24138,-14.54478,-178.30045
1.44E+09,-24.70875,150.23582,-50.00708,93.71247,23.95432,-2.84126,-14.32211,-177.62471
1.45E+09,-23.5115,144.77629,-50.15022,-75.90192,23.98523,-3.64729,-14.44647,-179.15157
1.45E+09,-22.48025,146.08713,-46.70415,-106.90562,23.9774,-4.24999,-14.07162,-179.75441
1.46E+09,-23.63816,140.42735,-46.41169,-142.02722,23.97378,-5.3298,-14.0181,179.41501
1.47E+09,-23.41764,149.2722,-49.2735,74.85043,23.97362,-6.24979,-14.27016,-179.91864
1.47E+09,-22.82945,144.03549,-52.04983,-36.04904,23.95687,-6.77154,-13.9307,178.35793
1.48E+09,-23.64022,141.36852,-50.1566,164.23936,23.96092,-7.68501,-14.07263,178.81171
1.48E+09,-22.62617,140.79115,-52.36856,-54.21409,23.94829,-8.52643,-13.75357,177.65036
