Freq(Hz),Sdd11(mag),Sdd11(phase),Sds12(mag),Sds12(phase),Ssd21(mag),Ssd21(phase),Sss22(mag),Sss22(phase)
5.79E+08,-26.56111,87.38326,-13.40484,93.31529,-13.5122,92.17888,-17.66635,-95.75579
5.85E+08,-25.92685,86.19812,-13.32892,90.65928,-13.38964,90.14108,-18.22266,-96.95213
5.91E+08,-26.9864,79.37789,-13.491,88.37451,-13.1423,87.88337,-17.81579,-98.86395
5.97E+08,-25.25405,63.41874,-13.30248,86.83475,-13.32001,84.01428,-18.0822,-98.71802
6.03E+08,-26.00069,70.38126,-13.61725,83.94313,-13.52106,82.62373,-17.67512,-100.4121
6.09E+08,-24.91395,66.00744,-13.46452,80.77045,-13.15065,79.6986,-18.08396,-97.62279
6.15E+08,-25.36775,57.47937,-13.40861,77.48949,-13.27212,77.10114,-18.43198,-104.90967
6.21E+08,-25.28579,64.72728,-13.44262,75.05384,-13.23687,73.97332,-18.03877,-100.05801
6.27E+08,-24.84197,52.16856,-13.14691,72.70589,-13.254,71.47668,-17.91894,-101.15243
6.33E+08,-25.90413,51.07623,-13.23153,69.80071,-13.19392,68.13544,-18.27615,-105.97965
6.39E+08,-25.48083,47.02294,-13.03286,66.99483,-13.55041,68.161,-17.78475,-105.39545
6.45E+08,-25.20519,43.63432,-13.43134,66.12826,-13.37207,63.79135,-18.70822,-102.52775
6.51E+08,-25.17053,38.97505,-13.5105,65.54365,-13.2746,59.81984,-18.18793,-101.56497
6.57E+08,-25.94906,37.49241,-13.50826,60.14198,-13.13249,56.88722,-17.94178,-106.28311
6.63E+08,-25.34668,30.75571,-13.28221,57.38146,-13.21403,54.93907,-17.92743,-108.29984
6.69E+08,-25.64653,23.12852,-13.24887,52.67964,-13.46204,52.33194,-17.92048,-110.70892
6.75E+08,-26.32511,15.79532,-13.28442,50.78718,-13.27568,49.59716,-18.64979,-113.89957
6.81E+08,-24.62473,18.44425,-13.05152,49.28827,-13.07892,47.61135,-17.97884,-110.43296
6.87E+08,-25.21982,11.44533,-13.2945,45.31064,-13.19725,44.31518,-17.6019,-115.54211
6.93E+08,-24.35825,7.54583,-13.19472,43.72562,-13.14715,42.58122,-17.9302,-115.9301
6.99E+08,-24.38913,5.2126,-13.20316,40.88868,-13.51302,38.14355,-17.73466,-110.98611
7.05E+08,-23.94396,4.66978,-13.2905,38.32481,-13.38644,34.62579,-18.0115,-117.58329
7.11E+08,-25.32034,-4.57299,-13.27012,34.38208,-13.23212,32.73194,-18.20122,-116.51189
7.17E+08,-24.38478,-3.09338,-13.17487,34.27283,-13.15488,30.50555,-17.97237,-118.24458
7.23E+08,-24.69136,-6.2701,-13.33124,29.94295,-13.29778,26.77219,-17.53415,-123.12333
7.29E+08,-24.13119,-10.11833,-13.27052,26.59193,-13.16225,24.94844,-17.99368,-122.24789
7.35E+08,-24.71922,-7.07292,-12.98264,24.31069,-13.50304,20.79957,-17.80757,-122.85136
7.41E+08,-24.49907,-12.94594,-12.99284,19.82472,-13.20983,19.63161,-17.59432,-122.6125
7.47E+08,-25.73542,-20.1571,-13.17,18.52246,-13.11544,15.73876,-17.7761,-124.46773
7.53E+08,-24.46144,-29.48146,-13.14448,15.09396,-13.21666,13.95108,-17.94253,-121.77081
7.59E+08,-25.21333,-27.76491,-13.28274,12.65453,-13.23995,10.61476,-17.66005,-126.66915
7.65E+08,-25.20304,-35.90648,-13.21469,11.10555,-13.38971,8.38296,-17.75488,-125.02861
7.71E+08,-24.0629,-41.58976,-13.11888,6.92964,-13.33514,4.81258,-18.25568,-127.6295
7.77E+08,-24.93644,-40.49571,-13.0163,5.72238,-13.13693,1.42068,-18.17284,-128.17455
7.83E+08,-24.99349,-49.94556,-13.07458,1.14241,-13.12935,0.01099,-17.53959,-129.46599
7.89E+08,-24.36983,-48.59215,-13.17943,-1.24186,-13.13317,-3.85233,-17.72723,-132.39499
7.95E+08,-25.63163,-53.19336,-13.10831,-3.83341,-13.16671,-7.35295,-17.41561,-133.84731
8.01E+08,-24.46237,-58.39601,-13.20039,-6.47155,-12.95164,-10.25528,-17.9794,-132.37601
8.07E+08,-25.17074,-60.12826,-13.06253,-9.90249,-13.18812,-12.43911,-17.57492,-134.83099
8.13E+08,-25.2166,-60.87998,-13.03153,-14.01631,-12.99351,-13.74703,-17.58316,-134.5174
8.19E+08,-24.58491,-68.09302,-13.0099,-14.93355,-13.11068,-16.56478,-17.36156,-137.48239
8.25E+08,-25.39873,-74.4505,-13.18112,-18.66878,-13.21695,-21.08838,-17.73109,-134.65816
8.31E+08,-25.16696,-74.63648,-12.96689,-21.45214,-13.10573,-23.7334,-17.88605,-133.94432
8.37E+08,-25.80877,-73.11829,-12.78973,-23.88817,-13.48917,-27.40927,-17.6354,-139.38989
8.43E+08,-26.21521,-82.33738,-13.11781,-25.75485,-13.09405,-29.40368,-17.90142,-138.07617
8.49E+08,-26.84343,-88.96239,-13.19867,-28.71482,-13.18607,-32.04619,-17.94502,-143.55411
8.55E+08,-26.55055,-91.53042,-13.28706,-31.24529,-13.18363,-34.45302,-17.97841,-141.15973
8.61E+08,-27.04595,-94.6846,-13.16239,-36.86023,-13.31584,-35.23626,-17.98441,-144.41425
8.67E+08,-26.69698,-98.06813,-13.17514,-39.20465,-13.30575,-40.86597,-17.90937,-144.04198
8.73E+08,-26.9116,-105.62413,-13.02573,-40.70385,-13.3701,-44.55457,-18.10724,-147.97882
8.79E+08,-26.83645,-101.27686,-13.15977,-43.83408,-13.21504,-44.56974,-17.0678,-147.39124
8.85E+08,-27.89173,-107.73087,-13.17287,-47.25243,-13.286,-48.44166,-17.68316,-146.6333
8.91E+08,-26.9028,-119.57899,-13.22521,-48.6551,-13.31659,-50.80112,-17.67452,-149.0025
